Section 9, Developer Theory, Docker and Elastic Beanstalk, Lab files - v2.zip, https://media.acloud.guru/aws-cda-2018/resource/f9ef4635-02f4-c3da-017c-32fbbe6bc15b_ec9aab85-c8a8-3f2c-44ea-b52dc6e1024f/aws-cda-2018-517dd126-deb9-4406-99d9-199fea353643.zip?Expires=1670328211&Signature=YwGPNxz2nwJ37XpxwyVQ+4JB7ETPAulKNuOgkLSIBzy4ChA0EVCHCG/z0CFikaUM/onyVWkNYfp7G0hjBaD3XYg5WLsy1Vwh0hbgqQesJhJz2lnNl8IWvdWWzivqV9LxAECZiPY3r85sHMXowwviAGGlb+XlcRwo4PNY3Rz/qERCskdA7e7zuTzFVZQrkQ1rmkDPDI4PNo90ZcWR9TYxdyuDiqk80gDegedAqAHW1yG4Iler4NFcD1FcoMc6xnYuU+T0t6CU1nk5UZNkHzsxrIumkg83m+wOi+WWrsX4Or/LTxvD6oGzMF1NmfmoYdJ4LFsrJhtE61Ao1r/y7C1reQ==&Key-Pair-Id=APKAISLU6JPYU7SF6EUA

Section 9, Developer Theory, Docker and Elastic Beanstalk, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609898383628-S9_L14_Docker%20and%20Elastic%20Beanstalk.pdf

Section 9, Developer Theory, Introduction To CloudFormation, Resource attribute reference, https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-product-attribute-reference.html

Section 9, Developer Theory, Introduction To CloudFormation, CloudFormation Template Snippets, https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/CHAP_TemplateQuickRef.html

Section 9, Developer Theory, Introduction To CloudFormation, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609898487456-S9_L15_CLOUDFORMATION.pdf

Section 9, Developer Theory, CloudFormation Demo, CloudFormation Template, https://media.acloud.guru/aws-cda-2018/resource/a23ab82a-fab5-9cb9-9a15-029ffda47c02_462c9532-a56a-7ca5-d136-2122647fa329/aws-cda-2018-af53a522-cdf6-4fcd-b12d-e8948e84d58d.yml?Expires=1670328211&Signature=g57IvapFK7rUTt9cLCZTxfQX0Ndip42GHY+47nPea1mlYpXJW/cveAdxhbsLOU+Bf4bw/wuNxy01CgU76HSP6YmnrTn5DS0v0OFBqJFv5eDJZUSxfQS3KioQTH7YfUPAhtWcacoyZR3n1DlFTM95g1gyBlD+fI9wnDkIe9yysTT7e9OLFOC8VnUPMSaQa2Ro1LRbg6CR/fuMBjPvebOK/xcfr2SvpJUX9DjyR1muLyEAzbYLkgy1+xkEx/HQbhNaERDspGAVkBaS/jCmgHzS4lb+xq8IaxsAGcHRp+qK6go0lLJIRkEbR0oFTZkmHgCIPUclsxMWCbgLhmVjMT9PEg==&Key-Pair-Id=APKAISLU6JPYU7SF6EUA

Section 9, Developer Theory, CloudFormation Demo, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609898660330-S9_L16_CLOUDFORMATION_LAB.pdf

Section 9, Developer Theory, Exporting CloudFormation Stack Values, Lesson Resources - CloudFormation Templates, https://github.com/ACloudGuru-Resources/course-aws-certified-developer-associate/tree/main/Exporting_CloudFormation_Stack_Values_Demo

Section 9, Developer Theory, The Serverless Application Model (SAM), Slides PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1637614735195-AWS%20Certified%20Developer%20-%20Associate%202020_The%20Serverless%20Application%20Model%20%28SAM%29.pdf

Section 9, Developer Theory, CloudFormation and SAM Demo, Lesson Resources, https://github.com/ACloudGuru-Resources/course-aws-certified-developer-associate/tree/main/CloudFormation_SAM_Demo

Section 9, Developer Theory, CloudFormation and SAM Demo, AWS Guide To Installing the SAM CLI, https://docs.aws.amazon.com/serverless-application-model/latest/developerguide/serverless-sam-cli-install.html

Section 9, Developer Theory, CloudFormation Nested Stacks, Walkthrough: Refer to resource outputs in another AWS CloudFormation stack, https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/walkthrough-crossstackref.html

Section 9, Developer Theory, CloudFormation Nested Stacks, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609899095247-S9_L19_CLOUDFORMATION_NESTED_TEMPLATES.pdf

Section 9, Developer Theory, CloudFormation Nested Stacks, CloudFormation Best Practices, https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/best-practices.html

Section 9, Developer Theory, Developer Theory Summary - Part 1, AWS Certified Developer Associate Interactive Study Guide: Developer Theory - Part 2, https://acloudguru.visme.co/view/x43pdq3y-aws-certified-developer-associate-studyguide-s09-developer-theory-part2

Section 9, Developer Theory, Developer Theory Summary - Part 1, AWS Certified Developer Associate Interactive Study Guide: Developer Theory - Part 1, https://acloudguru.visme.co/view/4d3qwvrj-aws-certified-developer-associate-studyguide-s09-developer-theory-part1

Section 9, Developer Theory, Developer Theory Summary - Part 2, Practicing Continuous Integration and Continuous Delivery on AWS, https://d0.awsstatic.com/whitepapers/DevOps/practicing-continuous-integration-continuous-delivery-on-AWS.pdf

Section 9, Developer Theory, Developer Theory Summary - Part 2, Overview of Deployment Options on AWS Whitepaper, https://docs.aws.amazon.com/whitepapers/latest/overview-deployment-options/overview-deployment-options.pdf
