Section 3, Beginner's Guide to EC2, EC2 with S3 Role Demo, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609873357975-S3_L12_EC2_WITH_S3_ROLE_LAB.pdf

Section 3, Beginner's Guide to EC2, RDS 101, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609873470902-S3_L13_RDS.pdf

Section 3, Beginner's Guide to EC2, RDS Demo, Bootstrap Script and RDS Commands, https://github.com/ACloudGuru-Resources/course-aws-certified-developer-associate/tree/main/RDS_Demo

Section 3, Beginner's Guide to EC2, RDS Multi-AZ and Read Replicas, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609873604169-S3_L15_RDS_MULTI_AZ_%26_READ_REPLICAS.pdf

Section 3, Beginner's Guide to EC2, RDS Backups and Snapshots, Slides PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1637614807477-AWS%20Certified%20Developer%20-%20Associate%202020_RDS%20Backups%20and%20Snapshots.pdf

Section 3, Beginner's Guide to EC2, Elasticache 101, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609873697098-S3_L16_ELASTICACHE_101.pdf

Section 3, Beginner's Guide to EC2, Systems Manager Parameter Store, AWS Secrets Manager FAQs, https://aws.amazon.com/secrets-manager/faqs/

Section 3, Beginner's Guide to EC2, Systems Manager Parameter Store, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609873756236-S3_L17_AWSSystemsManagerParameterStore.pdf

Section 3, Beginner's Guide to EC2, Systems Manager Parameter Store, AWS Systems Manager Parameter Store, https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-parameter-store.html

Section 3, Beginner's Guide to EC2, Systems Manager Parameter Store, Systems Manage User Guide, https://docs.aws.amazon.com/systems-manager/latest/userguide/what-is-systems-manager.html

Section 3, Beginner's Guide to EC2, Systems Manager Parameter Store, AWS Systems Manager FAQs > Parameter Store, https://aws.amazon.com/systems-manager/faq/#Parameter_Store

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 1, Slides PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1643066316293-EC2_SUMMARY_Part1.pdf

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 1, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 1, https://acloudguru.visme.co/view/8r08r8nv-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part1

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 1, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 2, https://acloudguru.visme.co/view/8r08r6nq-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part2

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 2, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 1, https://acloudguru.visme.co/view/8r08r8nv-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part1

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 2, Slides PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1643066359715-EC2_SUMMARY_Part2.pdf

Section 3, Beginner's Guide to EC2, EC2 Summary - Part 2, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 2, https://acloudguru.visme.co/view/8r08r6nq-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part2
